loss,u0_tank_oxidizer_mass,tank_pressure,valve_flow_capacity_factor,injector_orifice_area,u0_fuel_grain_void_diameter,final_fuel_grain_void_diameter,fuel_grain_length,nozzle_throat_diameter
44.49290210890119,4.955,7.0e6,1.0e-5,1.0e-5,0.03,0.04,0.3,0.016
26.77410140279133,4.958992194213951,7.000000000000347e6,1.1108726656139628e-5,1.0264046633767511e-5,0.032200806622137326,0.04000160148315451,0.24805622278128392,0.01589397256421446
12.487559881599942,4.9486532596770845,7.000000000001276e6,1.1260233227964359e-5,1.043016937120851e-5,0.0335334574325567,0.04000489391640199,0.21228032488373583,0.016896235349436937
12.263566988973421,4.948591706079003,7.000000000001283e6,1.1269793484445006e-5,1.0440536136249752e-5,0.03351119922325984,0.04000497353657814,0.2121735575042259,0.016884346150020196
9.242576707718785,4.943969038677426,7.000000000002075e6,1.2366518069904554e-5,1.1417122748605858e-5,0.03439419205361625,0.040012546996210374,0.21380773119721766,0.01603248325160263
9.2053188062436,4.943951443744069,7.000000000002078e6,1.2372345952077415e-5,1.1419827845644068e-5,0.03439643712330896,0.04001257644293802,0.2138178305476208,0.016029619607488943
9.132762203178363,4.9438934575098505,7.000000000002087e6,1.2384585001965358e-5,1.141730323055785e-5,0.034410531858304505,0.04001268221753759,0.21383163452210752,0.016016399212262725
9.132769437987825,4.943893447334148,7.000000000002095e6,1.2384569787603933e-5,1.1417298777592728e-5,0.03441053579530601,0.04001285871551866,0.21383169389081744,0.016016388501742026
9.132778470148715,4.943893314194854,7.000000000002083e6,1.2384556685356189e-5,1.1417303020934915e-5,0.03441059957012423,0.04001592881690911,0.2138316407095821,0.016016341904868454
0.02128802034282897,4.943893314194854,7.000000000002083e6,1.2384556685356189e-5,1.1417303020934915e-5,0.03441059957012423,0.04001592881690911,0.2138316407095821,0.016016341904868454
0.019929659706851077,4.943893243734382,7.000000000002083e6,1.22358781711704e-5,1.1378877331558498e-5,0.03441015460475317,0.04001592885176065,0.2138314870865575,0.0160192943122531
0.019923473820870133,4.943893243734383,7.000000000002083e6,1.2235878171172323e-5,1.1378877331553418e-5,0.034410154604744635,0.04001592885176065,0.21383148708655766,0.016019294312256512
0.01838425213396377,4.943893609948248,7.000000000002083e6,1.2239399926458702e-5,1.1369604370931665e-5,0.03439632565834942,0.04001592927473004,0.21382548651951624,0.01602548914028284
0.018378628343268862,4.9438936099482484,7.000000000002083e6,1.2239399926458973e-5,1.1369604370930862e-5,0.03439632565834964,0.04001592927473004,0.2138254865195162,0.016025489140282612
0.018378411818768786,4.9438936099482484,7.000000000002083e6,1.2239399926459004e-5,1.1369604370930769e-5,0.03439632565834963,0.04001592927473004,0.21382548651951616,0.016025489140282567
0.01741978477608501,4.943902241631719,7.000000000002083e6,1.2258616954117248e-5,1.1310963902693924e-5,0.034395614414247655,0.04001593913024839,0.2138238233734087,0.015998943075847098
0.01739474055566901,4.943901938283168,7.000000000000652e6,1.2257455693300688e-5,1.131404485050444e-5,0.03439563981912064,0.04055385120866539,0.2138238794993696,0.015999854070284765
0.017393513423156988,4.943901968825983,7.000000000000573e6,1.225747306654351e-5,1.1313860835423435e-5,0.034395637337184023,0.04075458561004978,0.21382387354890137,0.015999760197955137
0.01739363738625661,4.943901968825983,7.000000000000573e6,1.2257473066543053e-5,1.1313860835422606e-5,0.034395637337184023,0.04075458561004978,0.21382387354890137,0.015999760197955137
0.008282017663761321,4.943901968825983,7.000000000000573e6,1.2257473066543053e-5,1.1313860835422606e-5,0.034395637337184023,0.04075458561004978,0.21382387354890137,0.015999760197955137
0.00828180663460821,4.943901968825984,7.000000000000573e6,1.2257112047367412e-5,1.131386069379517e-5,0.03439563733721283,0.04075458561004978,0.21382387354893453,0.01599976019795385
0.008281798470860451,4.943901968825984,7.000000000000573e6,1.2257112047367405e-5,1.131386069339332e-5,0.03439563733721282,0.04075458561004978,0.21382387354893453,0.015999760197953853
0.008272686843064415,4.943901968825984,7.000000000000573e6,1.2257112047367405e-5,1.131386069339332e-5,0.03439563733721282,0.04075458561004978,0.21382387354893453,0.015999760197953853
0.00827270450080484,4.943901968825984,7.000000000000573e6,1.2257111974905976e-5,1.1313860580737331e-5,0.03439563733721281,0.04075458561004978,0.21382387354893453,0.015999760197953853
0.008272702224234199,4.943901968826118,7.000000000000573e6,1.2257095651048207e-5,1.1313862369916328e-5,0.03439563733822253,0.04075458561004978,0.21382387354959878,0.015999760197352397
0.00827269311260608,4.943901968826118,7.000000000000573e6,1.2257095651048207e-5,1.1313862369916328e-5,0.03439563733822253,0.04075458561004978,0.21382387354959878,0.015999760197352397
0.008272697016537219,4.943901968826118,7.000000000000573e6,1.2257094489303183e-5,1.131386007605687e-5,0.03439563733822253,0.04075458561004978,0.21382387354959878,0.015999760197352365
0.008272729326951144,4.943901968826118,7.000000000000573e6,1.2257094489303187e-5,1.1313860076056868e-5,0.03439563733822253,0.04075458561004978,0.21382387354959878,0.015999760197352365
0.008272729317839516,4.943901968826118,7.000000000000573e6,1.2257094489303187e-5,1.1313860076056868e-5,0.03439563733822253,0.04075458561004978,0.21382387354959878,0.015999760197352365
1.0e10,1.9039855684261637,5.343682225739202e6,0.0042065981622195405,0.0008358020150115551,0.014100047772232012,0.019209677910003962,0.38860584521932434,0.019987721954275964
1.0e10,2.283467641757583,5.328634476594107e6,0.006077008111814868,0.0004244716568808306,0.0599204810750248,0.1520894998603659,0.36647233610820834,0.02387633256846111
