loss,u0_tank_oxidizer_mass,valve_flow_capacity_factor,injector_orifice_area,u0_fuel_grain_void_diameter,additional_fuel_grain_void_diameter,fuel_grain_length,nozzle_throat_diameter
461.9058632142152,1.9202022823089007,7.160189589314742e-6,1.8003436356165668e-5,0.011386624749458594,0.010015150956867443,0.8791506992527793,0.013168579466049685
1.1877754102925688,1.8168862309164844,1.8224698804898252e-5,1.563105891942459e-5,0.04249169123079553,0.01010952541758842,0.862592665917344,0.010825829976243461
1.1877754102925688,1.8168862309164844,1.8224698804898252e-5,1.563105891942459e-5,0.04249169123079553,0.01010952541758842,0.862592665917344,0.010825829976243461
1.1877754102925688,1.8168862309164844,1.8224698804898252e-5,1.563105891942459e-5,0.04249169123079553,0.01010952541758842,0.862592665917344,0.010825829976243461
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
1.110006666594188,2.05,9.999999999999999e-6,1.2e-5,0.03,0.01,0.3,0.016
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
0.1503408428801,1.9670222457663056,1.0819207986015125e-5,8.63868328432375e-6,0.040190318734032206,0.008973412606391083,0.24551661081436246,0.018187284047500536
