Scan_Index,Timestamp_s,RayPath_ID,Tx_Channel,Rx_Channel,TimeOfFlight_us,Method,Status
1,1789340512.107,1,1,2,68.5760,HilbertEnvelope,OK
2,1789340514.404,1,1,2,68.5728,HilbertEnvelope,OK
3,1789340516.586,1,1,2,68.4433,HilbertEnvelope,OK
4,1789340518.778,1,1,2,68.5810,HilbertEnvelope,OK
5,1789340520.963,1,1,2,68.6545,HilbertEnvelope,OK
6,1789340523.152,1,1,2,68.4213,HilbertEnvelope,OK
7,1789340525.338,1,1,2,68.4618,HilbertEnvelope,OK
8,1789340527.523,1,1,2,68.4488,HilbertEnvelope,OK
9,1789340529.714,1,1,2,68.4838,HilbertEnvelope,OK
10,1789340531.922,1,1,2,68.6478,HilbertEnvelope,OK
11,1789340534.133,1,1,2,68.4530,HilbertEnvelope,OK
12,1789340536.319,1,1,2,68.6417,HilbertEnvelope,OK
13,1789340538.510,1,1,2,68.6581,HilbertEnvelope,OK
14,1789340540.704,1,1,2,68.4157,HilbertEnvelope,OK
15,1789340542.913,1,1,2,68.6800,HilbertEnvelope,OK
16,1789340545.114,1,1,2,68.5525,HilbertEnvelope,OK
17,1789340547.301,1,1,2,68.6007,HilbertEnvelope,OK
18,1789340549.501,1,1,2,68.5834,HilbertEnvelope,OK
