SampleRate_Hz,Mean_ToF_us,StdDev_ToF_us,Successful_Captures,Raw_ToFs_us
2500000,71.74615469476096,0.0703339244839419,10,"[np.float64(71.67816043547883), np.float64(71.73096370288948), np.float64(71.64610513528085), np.float64(71.77081261460448), np.float64(71.82976500961145), np.float64(71.89299106620143), np.float64(71.75676433104299), np.float64(71.73815281242946), np.float64(71.67359563886168), np.float64(71.74423620120895)]"
2631579,71.65721597332745,0.1489720927131531,10,"[np.float64(71.58740797788504), np.float64(71.80777096060021), np.float64(71.79031379035324), np.float64(71.7946478207366), np.float64(71.6143480702341), np.float64(71.30596350956289), np.float64(71.53151474761427), np.float64(71.6478348336212), np.float64(71.76680355335067), np.float64(71.72555446931635)]"
2777778,71.34398805715627,0.2855066496168746,10,"[np.float64(71.51071301627822), np.float64(71.49313144243412), np.float64(71.56866806560532), np.float64(71.4074821301412), np.float64(71.41475157848886), np.float64(71.16879423822849), np.float64(70.77904627781956), np.float64(71.58834615804767), np.float64(70.88031419633107), np.float64(71.6286334681881)]"
2884615,71.49930551239073,0.34504672492349525,10,"[np.float64(71.72700510020849), np.float64(71.75794037159878), np.float64(71.70873022140385), np.float64(71.22896196570738), np.float64(71.53418506633413), np.float64(71.46080692394695), np.float64(71.72377915040761), np.float64(70.57856043558546), np.float64(71.54609370873578), np.float64(71.72699217997898)]"
3000000,71.24143895444823,0.28530821361524983,10,"[np.float64(71.33572088372236), np.float64(71.38167220855001), np.float64(71.46157390323138), np.float64(71.39613688253507), np.float64(71.36789541579371), np.float64(71.24562083155293), np.float64(71.51607859789304), np.float64(71.1268955350009), np.float64(71.1103273045863), np.float64(70.47246798161657)]"
3125000,71.29963437543663,0.12398145871807764,10,"[np.float64(71.33819688712285), np.float64(71.26545096599), np.float64(71.34070443747959), np.float64(71.46110146630862), np.float64(71.38449875622425), np.float64(71.42918900611087), np.float64(71.36168496977568), np.float64(71.04614280151463), np.float64(71.23357365882276), np.float64(71.1358008050172)]"
3260870,70.89246873555899,0.5597425868844549,10,"[np.float64(71.14983811623357), np.float64(70.80705185002655), np.float64(70.5910514599663), np.float64(70.91110308620273), np.float64(70.85625242851366), np.float64(71.16727852151585), np.float64(69.40046493867352), np.float64(71.45067591223497), np.float64(71.17499631000169), np.float64(71.41597473222106)]"
3409091,70.55632537168243,0.547291416844602,10,"[np.float64(71.37498330241446), np.float64(70.15104932713906), np.float64(70.930358708513), np.float64(70.66608190720964), np.float64(69.55872660860041), np.float64(71.14368717426066), np.float64(70.69510428890064), np.float64(70.77383335855038), np.float64(70.48585845451001), np.float64(69.78357058672611)]"
3571429,70.34138765370321,0.7921249886230212,10,"[np.float64(70.80922948171805), np.float64(71.08025591898392), np.float64(69.81160895504499), np.float64(70.78712751322632), np.float64(71.42481742911987), np.float64(69.41600619584061), np.float64(70.32865970482246), np.float64(69.66280236691699), np.float64(68.95903165338778), np.float64(71.13433731797107)]"
3658537,68.19756191234993,1.421460906678413,10,"[np.float64(70.74625280863707), np.float64(67.2340441215035), np.float64(68.03154771032722), np.float64(70.73712313378127), np.float64(67.4970080635706), np.float64(66.43874951168306), np.float64(68.57191902924002), np.float64(68.39675036422376), np.float64(67.60378320945856), np.float64(66.71844117107423)]"
3846154,68.90585924542327,1.4401906414628476,10,"[np.float64(67.96895066241083), np.float64(68.68648395395836), np.float64(68.93995867693778), np.float64(69.0744579840363), np.float64(70.1861114723208), np.float64(70.96237305420713), np.float64(65.30744885733183), np.float64(69.8640071062734), np.float64(68.93944183150394), np.float64(69.12935885525238)]"
3947368,67.43946087070304,1.6254405673101324,10,"[np.float64(66.4594312198807), np.float64(67.45250547313009), np.float64(66.27533396228854), np.float64(68.28832375518694), np.float64(64.17647913149845), np.float64(66.98388221565884), np.float64(69.74579132057599), np.float64(70.10173981463579), np.float64(67.7027177013558), np.float64(67.20840411281931)]"
4054054,66.70469706346074,2.075687564506935,10,"[np.float64(70.59300231867682), np.float64(66.63785751481339), np.float64(64.78995165775933), np.float64(69.8754627833623), np.float64(66.57123150928889), np.float64(63.86558318068092), np.float64(67.92935484686244), np.float64(65.61114463103583), np.float64(66.28221218258882), np.float64(64.89117000953853)]"
4166667,67.05260776932431,1.1702608362623226,10,"[np.float64(65.60428223602456), np.float64(68.09834560009115), np.float64(68.6763456431427), np.float64(68.0592422732079), np.float64(64.68289076494185), np.float64(66.34758186192505), np.float64(66.6755409110724), np.float64(67.47252056375874), np.float64(67.6778537526086), np.float64(67.2314740864703)]"
4285714,64.16348620949032,1.4425808993171447,10,"[np.float64(67.03912899727827), np.float64(66.59889301234513), np.float64(64.31426063624201), np.float64(62.36788763326103), np.float64(63.53677167879604), np.float64(62.986194785613925), np.float64(63.55500409306263), np.float64(63.249373970167404), np.float64(64.39408038172428), np.float64(63.593266906412524)]"
4411765,66.35828655728139,1.6701157084436709,10,"[np.float64(65.49717238604087), np.float64(66.27058450109821), np.float64(65.04171592521439), np.float64(65.10671001498292), np.float64(67.22230930180258), np.float64(66.4242390352201), np.float64(69.65818150104147), np.float64(63.396760692608225), np.float64(68.15523360654865), np.float64(66.80995860825644)]"
4545455,63.38662069730999,2.7149964402071745,10,"[np.float64(67.86484289328727), np.float64(64.92799537465444), np.float64(57.49300637444288), np.float64(63.57040711367667), np.float64(66.11553955845956), np.float64(61.1877858177288), np.float64(62.311304805423795), np.float64(62.31342704914014), np.float64(63.31051533850471), np.float64(64.77138264778162)]"
