P_chamber_psia,OF_ratio,Isp_s,Cstar_m_s
50.0,1.0,198.06069067793334,1085.8998188660937
50.0,1.4827586206896552,210.30807388376664,1158.8031167166534
50.0,1.9655172413793105,220.26911575864608,1231.6775218468947
50.0,2.4482758620689653,228.8758543682057,1300.8769538228617
50.0,2.931034482758621,236.0078751233799,1356.6586372494144
50.0,3.413793103448276,244.94514698392575,1423.395924405632
50.0,3.896551724137931,255.7661173666442,1485.0999102147246
50.0,4.379310344827586,264.38992080436844,1528.1342716172355
50.0,4.862068965517242,270.7990717458314,1557.5330233167235
50.0,5.344827586206897,275.62521112484797,1576.4499312449102
50.0,5.827586206896552,279.2347906552601,1586.5939086634373
50.0,6.310344827586207,281.85288667476914,1589.3796493550963
50.0,6.793103448275862,283.6367140907339,1586.8844681396013
50.0,7.275862068965518,284.6982323190826,1581.2362391699621
50.0,7.758620689655173,285.11058613946057,1573.9464422300975
50.0,8.24137931034483,284.9061280307396,1565.9080518693816
50.0,8.724137931034484,284.1027171899392,1557.612010587911
50.0,9.206896551724139,282.812555606975,1549.321387651449
50.0,9.689655172413794,281.25920009976767,1541.1740565139958
50.0,10.172413793103448,279.589277473538,1533.2391787385463
50.0,10.655172413793103,277.87063267604685,1525.5480430060584
50.0,11.13793103448276,276.1365249574525,1518.1106735014307
50.0,11.620689655172415,274.40714689399255,1510.9254705275255
50.0,12.10344827586207,272.697685976863,1503.9845448221367
50.0,12.586206896551724,271.0166104253293,1497.2767663431807
50.0,13.068965517241379,269.37078833079113,1490.7897171528177
50.0,13.551724137931036,267.76481802843534,1484.5106682915412
50.0,14.03448275862069,266.2015610731976,1478.427146773274
50.0,14.517241379310345,264.6826132591626,1472.5273758412911
50.0,15.0,263.20862595565984,1466.8002986469824
100.0,1.0,199.55710739217326,1095.1409425762515
100.0,1.4827586206896552,211.87732751708518,1168.1787206958952
100.0,1.9655172413793105,221.50939727061274,1235.8353365183123
100.0,2.4482758620689653,229.81930893798634,1301.934710134994
100.0,2.931034482758621,236.76896666095627,1356.9745063390396
100.0,3.413793103448276,245.33646914427902,1423.28932044173
100.0,3.896551724137931,255.81805864104408,1485.0630648648782
100.0,4.379310344827586,264.45980554395334,1528.7625236419874
100.0,4.862068965517242,270.9450072913605,1559.5220445411717
100.0,5.344827586206897,275.87696450555757,1580.3387256498445
100.0,5.827586206896552,279.62131818907943,1592.723177127114
100.0,6.310344827586207,282.3977086659539,1597.638782454378
100.0,6.793103448275862,284.35542189779625,1596.709640441842
100.0,7.275862068965518,285.60112533182524,1592.0018540637607
100.0,7.758620689655173,286.2067328710481,1585.1906122078062
100.0,8.24137931034483,286.2022050989338,1577.3361949605185
100.0,8.724137931034484,285.5759599988724,1569.0427439891937
100.0,9.206896551724139,284.356094793129,1560.6420760773901
100.0,9.689655172413794,282.76599209747735,1552.312800229778
100.0,10.172413793103448,281.0138115431001,1544.1489860913894
100.0,10.655172413793103,279.1962929896628,1536.1973354000568
100.0,11.13793103448276,277.3604898015985,1528.477946421627
100.0,11.620689655172415,275.5345101370077,1520.995814694501
100.0,12.10344827586207,273.73402317674993,1513.7477620357124
100.0,12.586206896551724,271.96983907525834,1506.7259998410557
100.0,13.068965517241379,270.24875033211686,1499.9207133323414
100.0,13.551724137931036,268.57480482553456,1493.321197966874
100.0,14.03448275862069,266.9501607398215,1486.9165450220908
100.0,14.517241379310345,265.3757043846037,1480.6964209326786
100.0,15.0,263.85142686358193,1474.6509663548488
150.0,1.0,200.4250708457982,1100.4813875600616
150.0,1.4827586206896552,212.81717593343475,1173.859420805581
150.0,1.9655172413793105,222.2960470146476,1239.0470519065573
150.0,2.4482758620689653,230.42744527909443,1302.9180140758272
150.0,2.931034482758621,237.26200730012692,1357.295386041225
150.0,3.413793103448276,245.6009203852833,1423.2401743296887
150.0,3.896551724137931,255.8606930054509,1485.0302517812393
150.0,4.379310344827586,264.49215340976815,1529.0024061624188
150.0,4.862068965517242,271.01406523226484,1560.3846970187458
150.0,5.344827586206897,275.99943239465233,1582.1523336502848
150.0,5.827586206896552,279.8144285455507,1595.7628716763866
150.0,6.310344827586207,282.67666854771204,1601.9645322976967
150.0,6.793103448275862,284.7306625186273,1602.0648083374972
