SampleRate_Hz,Mean_ToF_us,StdDev_ToF_us,Successful_Captures,Raw_ToFs_us
2500000,71.77236875604464,0.09175480959719363,10,"[np.float64(71.88456869482202), np.float64(71.61500109314726), np.float64(71.69695144010419), np.float64(71.9165372807897), np.float64(71.71207711680073), np.float64(71.76280922980366), np.float64(71.77651492918393), np.float64(71.88893333821115), np.float64(71.72370467447327), np.float64(71.7465897631104)]"
2631579,71.70305301402718,0.10634995918457768,10,"[np.float64(71.62866973282394), np.float64(71.78534082547873), np.float64(71.5857644567793), np.float64(71.85781993392649), np.float64(71.84568477951848), np.float64(71.73298969692334), np.float64(71.62246251352728), np.float64(71.63097045153431), np.float64(71.78879503826381), np.float64(71.552032711496)]"
2777778,71.15005153106358,0.6305224268974275,10,"[np.float64(71.60288417419385), np.float64(71.54330174130351), np.float64(70.33327125627618), np.float64(71.60649527379907), np.float64(71.58737893651353), np.float64(69.62262261455247), np.float64(71.03497266382689), np.float64(71.40632374954671), np.float64(71.25928279648801), np.float64(71.50398210413562)]"
2884615,71.46450746284144,0.2076873267028641,10,"[np.float64(71.631477587282), np.float64(71.33875544102999), np.float64(71.18715557697386), np.float64(71.7763230943115), np.float64(71.18948820612745), np.float64(71.72891470047162), np.float64(71.60310969424815), np.float64(71.42490215590571), np.float64(71.25264781928209), np.float64(71.51230035278192)]"
3000000,70.85223689210054,0.7283766716695248,10,"[np.float64(71.34045515062884), np.float64(68.99746464917531), np.float64(71.01684659827534), np.float64(71.30649811561123), np.float64(70.56794438790813), np.float64(70.6926266238377), np.float64(71.31647995981969), np.float64(71.4668052048329), np.float64(71.49491178467612), np.float64(70.32233644624006)]"
3125000,71.06070238851589,0.5554662479699398,10,"[np.float64(71.34466641252187), np.float64(71.2818077856736), np.float64(70.49784420506244), np.float64(71.20872187903566), np.float64(69.58796292821565), np.float64(71.32851305234769), np.float64(71.40166421677046), np.float64(71.14498035464462), np.float64(71.31749095085148), np.float64(71.49337210003551)]"
3260870,70.89758735694785,0.4502175943420089,10,"[np.float64(71.35571600875205), np.float64(71.32890454266649), np.float64(70.97366061256128), np.float64(70.1973628950435), np.float64(70.6645607350958), np.float64(70.11596225712547), np.float64(71.35033644789142), np.float64(71.24320210265122), np.float64(71.14147705699885), np.float64(70.60469091069238)]"
3409091,69.66822572329093,1.5684029889426057,10,"[np.float64(71.72802689132034), np.float64(68.94760384285766), np.float64(71.55577961282587), np.float64(68.7306132918515), np.float64(70.10556993303935), np.float64(66.33017795069622), np.float64(70.6729930792795), np.float64(68.1364888011546), np.float64(70.06858365009855), np.float64(70.40642017978574)]"
3571429,69.48363304022932,0.931060742236592,10,"[np.float64(69.64290677743647), np.float64(69.10802841982623), np.float64(68.52177801690334), np.float64(70.61179998586357), np.float64(68.56784666975595), np.float64(69.967937905907), np.float64(68.29245449958115), np.float64(69.49989352857189), np.float64(69.20727889946447), np.float64(71.41640569898325)]"
3658537,69.48930434298984,0.6302898141900275,10,"[np.float64(69.97580906463723), np.float64(68.85546503708879), np.float64(69.39937488794969), np.float64(69.5222791852123), np.float64(70.23441520137034), np.float64(70.25676312354236), np.float64(69.97793638407052), np.float64(69.36826742386754), np.float64(69.1628178835603), np.float64(68.13991523859947)]"
3846154,65.85215478837523,2.144301030186646,10,"[np.float64(69.86145375985593), np.float64(66.46043911085985), np.float64(66.89468776410651), np.float64(65.51188910400383), np.float64(62.77281698732966), np.float64(66.7991205083726), np.float64(62.21049510946903), np.float64(67.1185373767074), np.float64(66.62053572600351), np.float64(64.27157243704406)]"
3947368,66.33339219696681,2.3224432707355915,10,"[np.float64(68.46417455428842), np.float64(66.94284240101621), np.float64(67.23458633149129), np.float64(62.932120292471275), np.float64(65.51460211802669), np.float64(69.9347756542518), np.float64(68.19838011877557), np.float64(65.39637279655864), np.float64(62.0294810257005), np.float64(66.68658667708775)]"
