P_chamber_pascals,OF_ratio,Isp_s,Cstar_m_s
100000.0,1.0,195.38893660227083,1069.326487579298
100000.0,1.1414141414141414,199.3826842551766,1091.907317211184
100000.0,1.2828282828282829,202.96076214173183,1113.1766377806
100000.0,1.4242424242424243,206.32601628270513,1134.5963789115442
100000.0,1.5656565656565657,209.59769975603237,1157.5980543383157
100000.0,1.7070707070707072,212.8011178005712,1182.351518003836
100000.0,1.8484848484848484,215.90478499532114,1207.5281932806224
100000.0,1.9898989898989898,218.87480947623158,1231.8269599678094
100000.0,2.1313131313131315,221.69404654077886,1254.650584710734
100000.0,2.2727272727272725,224.3582626832454,1275.870412607105
100000.0,2.4141414141414144,226.87022230360665,1295.5522821719724
100000.0,2.5555555555555554,229.23617292651687,1313.8233468793974
100000.0,2.696969696969697,231.4639148770757,1330.8194346992666
100000.0,2.8383838383838382,233.5619119861063,1346.6678106452346
100000.0,2.9797979797979797,235.5386782435749,1361.4813919001942
100000.0,3.121212121212121,237.40355557161317,1373.4534985694215
100000.0,3.2626262626262625,240.6292927998763,1399.1371993185621
100000.0,3.404040404040404,244.16226420312043,1422.17935920444
100000.0,3.5454545454545454,247.64871230109617,1442.7813411073391
100000.0,3.686868686868687,251.02980414121797,1461.2162607526361
100000.0,3.8282828282828283,254.2406648451553,1477.6850128269712
100000.0,3.9696969696969697,257.16373406700427,1492.3492361557446
100000.0,4.111111111111111,259.81491514039647,1505.3527110062423
100000.0,4.252525252525253,262.22540187085957,1516.8329466170092
100000.0,4.393939393939394,264.42235165882414,1526.9233669836271
100000.0,4.535353535353535,266.42846266397186,1535.7506950465965
100000.0,4.6767676767676765,268.26269179853165,1543.4304757979046
100000.0,4.818181818181818,269.94102325939036,1550.0633736905174
100000.0,4.959595959595959,271.4769346946509,1555.7331384937538
100000.0,5.101010101010101,272.88183670837674,1560.5075871479276
100000.0,5.242424242424242,274.16544067857825,1564.4419809074377
100000.0,5.383838383838384,275.3360871680942,1567.584408933377
100000.0,5.525252525252525,276.401039111382,1569.9814117481205
100000.0,5.666666666666666,277.366695678051,1571.6828131199452
100000.0,5.808080808080808,278.23881943064384,1572.7443590427706
100000.0,5.949494949494949,279.02263027351984,1573.2276058543055
100000.0,6.090909090909091,279.72288901344365,1573.1979262175032
100000.0,6.232323232323232,280.3445880844875,1572.7214722590525
100000.0,6.373737373737374,280.8901071098665,1571.8625112784819
100000.0,6.515151515151515,281.3639953730866,1570.6806588742347
100000.0,6.656565656565657,281.7694614678106,1569.2299258340236
100000.0,6.797979797979798,282.10937258113836,1567.5578572003874
100000.0,6.9393939393939394,282.386259672085,1565.7056371593733
100000.0,7.08080808080808,282.6023382489212,1563.708312626489
100000.0,7.222222222222222,282.7595307836765,1561.5955851396313
100000.0,7.363636363636363,282.85948559598785,1559.3923368608066
100000.0,7.505050505050505,282.9036008891813,1557.1193141501312
100000.0,7.646464646464646,282.89305609883075,1554.7938113568998
100000.0,7.787878787878787,282.8288712230575,1552.4301268403847
100000.0,7.929292929292929,282.7120339055551,1550.0400922895983
100000.0,8.07070707070707,282.5464045297654,1547.6335115613879
