SampleRate_Hz,Mean_ToF_us,StdDev_ToF_us,Successful_Captures,Raw_ToFs_us
2500000,71.79452808464569,0.08220221334410031,10,"[np.float64(71.92182981697283), np.float64(71.76832208489068), np.float64(71.7069499122524), np.float64(71.88864253500292), np.float64(71.76302520587802), np.float64(71.76866916679458), np.float64(71.92250590721348), np.float64(71.7814872221443), np.float64(71.67804323491636), np.float64(71.7458057603915)]"
2542373,71.70280173998212,0.2186499348983478,10,"[np.float64(71.8126066083806), np.float64(71.84383871029837), np.float64(71.75907789306356), np.float64(71.84257867402327), np.float64(71.68545843756584), np.float64(71.75898272358056), np.float64(71.72556464925857), np.float64(71.06270268742077), np.float64(71.79165802969611), np.float64(71.74554898653362)]"
2542373,71.69433106383579,0.05360544127179841,10,"[np.float64(71.77239489792616), np.float64(71.6294956719567), np.float64(71.70913953208922), np.float64(71.62784685152474), np.float64(71.6565543252011), np.float64(71.73650720029967), np.float64(71.76931629065405), np.float64(71.73365678274241), np.float64(71.66425238035028), np.float64(71.64414670561352)]"
2586207,71.68346403206175,0.041416333047727426,10,"[np.float64(71.72392712634415), np.float64(71.70971863322897), np.float64(71.64379451982552), np.float64(71.64057897093231), np.float64(71.66491080340083), np.float64(71.6906943043406), np.float64(71.72858201890276), np.float64(71.70575195007827), np.float64(71.60139341641805), np.float64(71.72528857714603)]"
2586207,71.75652881198603,0.07811066645857632,10,"[np.float64(71.68058334423432), np.float64(71.69332446982062), np.float64(71.76199139500197), np.float64(71.85368763865384), np.float64(71.82705140260478), np.float64(71.67178270879381), np.float64(71.66868429000344), np.float64(71.77696693929362), np.float64(71.90078476449061), np.float64(71.73043116696333)]"
2631579,71.55642755033065,0.24000075704155444,10,"[np.float64(71.68135076417937), np.float64(71.63871119836173), np.float64(70.85824763815926), np.float64(71.67934487673372), np.float64(71.59651740129533), np.float64(71.57254752071518), np.float64(71.7433704628263), np.float64(71.64897430858535), np.float64(71.62340084003466), np.float64(71.52181049241548)]"
2678571,71.31151707320224,0.4161504608777324,10,"[np.float64(71.74854392650343), np.float64(70.48304533754026), np.float64(71.61746789951242), np.float64(71.52436964482675), np.float64(70.82830767225317), np.float64(71.54707600936827), np.float64(71.51763799011157), np.float64(70.78190769640025), np.float64(71.58400500751799), np.float64(71.48280954798824)]"
2678571,71.58742624496485,0.11114486970999032,10,"[np.float64(71.4320903596713), np.float64(71.76033298055596), np.float64(71.66662864364436), np.float64(71.60654452986248), np.float64(71.47498990975008), np.float64(71.6769037762843), np.float64(71.54700688360363), np.float64(71.71949428916315), np.float64(71.55039997216599), np.float64(71.43987110494713)]"
2727273,71.50583462767696,0.21812888677382272,10,"[np.float64(71.49371331875504), np.float64(71.83642429805218), np.float64(71.03194549853), np.float64(71.40651493956621), np.float64(71.60441766998828), np.float64(71.24267392835311), np.float64(71.66391580513194), np.float64(71.6457678141672), np.float64(71.58917927630442), np.float64(71.54379372792117)]"
2727273,71.65584401883561,0.17388024099091123,10,"[np.float64(71.61282254532854), np.float64(71.7119145314003), np.float64(71.29216828425015), np.float64(71.40959086983545), np.float64(71.66708179955342), np.float64(71.77573284407462), np.float64(71.82909963405464), np.float64(71.85867144581744), np.float64(71.78661954888386), np.float64(71.61473868515766)]"
